,station_id,stationname,num_lines,line,Latitude,Longitude,rltv_ride_dif,rides,ride_dif,year
0,40040,Quincy/Wells,4.0,MULTI,41.878723,-87.63374,0.0296804668727,2258189.14286,65092.1428571,1
1,40060,Belmont-O'Hare,1.0,BLUE,41.938132,-87.712359,0.0306660670604,1787161.5,104701.0,2
2,40070,Jackson/Dearborn,1.0,BLUE,41.878183,-87.629296,0.0187520784271,2401761.0,44209.0,1
3,40080,Sheridan,1.0,RED,41.953775,-87.654929,0.00822554065338,1850091.14286,30083.2857143,2
4,40090,Damen-Brown,1.0,BROWN,41.966286,-87.678639,0.0475670734448,863339.785714,78819.5714286,2
5,40120,35th/Archer,1.0,ORANGE,41.829353,-87.680622,0.0495726860724,983098.0,46433.0,1
6,40130,51st,1.0,GREEN,41.80209,-87.618487,0.00132483598255,362789.0,480.0,1
7,40140,Dempster-Skokie,1.0,YELLOW,42.038951,-87.751919,0.795798259586,580974.857143,257455.857143,1
8,40160,LaSalle/Van Buren,4.0,MULTI,41.8768,-87.631739,0.0448319661433,809070.857143,34715.8571429,1
9,40170,Ashland-Lake,2.0,MULTI,41.885269,-87.666969,0.0364139179019,810997.0,28494.0,1
10,40190,Sox-35th-Dan Ryan,1.0,RED,41.831191,-87.630636,0.0403081206632,1712730.0,66362.0,1
11,40200,Randolph/Wabash,5.0,MULTI,41.884431,-87.626149,0.163654718995,2976565.42857,734116.857143,2
12,40210,Damen-Cermak,1.0,PINK,41.854517,-87.675975,0.0203690400443,497134.0,9924.0,1
13,40230,Cumberland,1.0,BLUE,41.984246,-87.838028,0.0471055557199,1451415.0,65294.0,1
14,40240,79th,1.0,RED,41.750419,-87.625112,0.0368776140335,2507871.0,89195.0,1
15,40250,Kedzie-Homan-Forest Park,1.0,BLUE,41.874341,-87.70604,0.0464465257488,787248.0,34942.0,1
16,40260,State/Lake,5.0,MULTI,41.88574,-87.627835,0.0658390805787,3295794.0,203588.0,1
17,40280,Central-Lake,1.0,GREEN,41.887389,-87.76565,0.00905123298863,750944.0,6736.0,1
18,40310,Western-Orange,1.0,ORANGE,41.804546,-87.684019,0.0318554685839,1334995.0,41214.0,1
19,40330,Grand/State,1.0,RED,41.891665,-87.628021,0.0393768561026,4349630.0,164786.0,1
20,40360,Southport,1.0,BROWN,41.943744,-87.663619,0.0530809531116,1098068.57143,55348.5714286,1
21,40370,Washington/Dearborn,1.0,BLUE,41.883164,-87.62944,0.0417424429485,3678469.57143,291482.142857,2
22,40380,Clark/Lake,6.0,MULTI,41.885737,-87.630886,0.0760481120929,5997069.0,423834.0,1
23,40400,Noyes,1.0,PURPLE,42.058282,-87.683337,0.0427554077283,267726.071429,21999.1428571,2
24,40420,Cicero-Cermak,1.0,PINK,41.85182,-87.745336,0.0142463286507,455069.0,6392.0,1
25,40430,Clinton-Forest Park,1.0,BLUE,41.875539,-87.640984,0.033236219752,1182875.64286,75091.2857143,2
26,40440,California-Cermak,1.0,PINK,41.854109,-87.694774,0.111398482367,520389.0,52160.0,1
27,40450,95th/Dan Ryan,1.0,RED,41.722377,-87.624342,0.00180292179064,3676215.0,6616.0,1
28,40460,Merchandise Mart,2.0,MULTI,41.888969,-87.633924,0.0600599433462,2217063.42857,125612.428571,1
29,40490,Grand/Milwaukee,1.0,BLUE,41.891189,-87.647578,0.0917815377052,883831.0,74300.0,1
30,40520,Foster,1.0,PURPLE,42.05416,-87.68356,0.0425523417195,289678.071429,23705.1428571,2
31,40530,Diversey,2.0,MULTI,41.932732,-87.653131,0.0260842563139,1770195.42857,45000.4285714,1
32,40550,Irving Park-O'Hare,1.0,BLUE,41.952925,-87.729229,0.0361739536297,1438569.0,50222.0,1
33,40560,Jackson/State,1.0,RED,41.878153,-87.627596,0.00852343722109,3389970.0,28650.0,1
34,40570,California/Milwaukee,1.0,BLUE,41.921939,-87.69689,0.122810079972,1620982.07143,327608.142857,2
35,40580,54th/Cermak,1.0,PINK,41.85177331,-87.75669201,0.0470729974449,726565.0,32664.0,1
36,40590,Damen/Milwaukee,1.0,BLUE,41.909744,-87.677437,0.107022176049,2245855.07143,401764.142857,2
37,40600,Kostner,1.0,PINK,41.853751,-87.733258,0.00322860974108,174320.0,561.0,1
38,40610,Ridgeland,1.0,GREEN,41.887159,-87.783661,0.00536674001211,393399.0,2100.0,1
39,40630,Clark/Division,1.0,RED,41.90392,-87.631412,0.0715636395854,2750658.85714,183700.857143,1
40,40650,North/Clybourn,1.0,RED,41.910655,-87.649177,0.0241598110376,2148027.5,99228.0,2
41,40660,Armitage,2.0,MULTI,41.918217,-87.652644,0.087624261912,1351632.0,108894.0,1
42,40680,Adams/Wabash,5.0,MULTI,41.879507,-87.626037,0.161572077485,2809151.57143,698608.142857,2
43,40700,Laramie,1.0,GREEN,41.887163,-87.754986,0.0169131549963,463757.142857,7713.14285714,1
44,40730,Washington/Wells,4.0,MULTI,41.882695,-87.63378,0.0524628432253,2213628.71429,221776.428571,2
45,40740,Western-Cermak,1.0,PINK,41.854225,-87.685129,0.0251226987618,402701.0,9869.0,1
46,40750,Harlem-O'Hare,1.0,BLUE,41.98227,-87.8089,0.0197006791637,951291.0,18379.0,1
47,40780,Central Park,1.0,PINK,41.853839,-87.714842,0.0189587073609,425670.0,7920.0,1
48,40790,Monroe/Dearborn,1.0,BLUE,41.880703,-87.629378,0.0421895737877,2268212.71429,181488.428571,2
49,40800,Sedgwick,2.0,MULTI,41.910409,-87.639302,0.0948714208311,1260924.0,109260.0,1
